Sno,Symbol,CompanyName,Cur_Price,Price_Change,Price_Percentage_chg,Master_Score,EPS_Rating,RS_Rating,AD_Rating,Group_Rank,Industry_Group
"1","HFCL","HFCL","209.61","9.98","5.00","66","50","98","A+","1","Computer-Networking     ",
"2","CPPLUS","Aditya Infotech Ltd","3637.80","124.10","3.53","80","91","98","A+","177","Computer-Tech Services  ",
"3","SYRMA","Syrma Sgs Technology","1334.00","-12.80","-0.95","75","90","96","A+","5","Elec-Misc Products      ",
"4","ACUTAAS","Acutaas Chemicals Ltd","3246.20","109.90","3.50","84","91","96","A-","44","Chemicals-Specialty     ",
"5","CEMPRO","Cemindia Projects Limited","1252.00","59.60","5.00","75","97","96","A+","91","Bldg-Heavy Construction ",
"6","NETWEB","Netweb Technologies India Ltd","5060.90","-18.70","-0.37","84","98","95","A+","6","Computer Sftwr-Database ",
"7","GVT&D","GE Vernova T&D India Ltd","5533.50","283.50","5.40","86","97","95","A-","11","Electrical-Power/Equipmt",
"8","POWERINDIA","Hitachi Energy India","36880.00","580.00","1.60","86","94","95","B-","11","Electrical-Power/Equipmt",
"9","APARINDS","Apar Industries (Nse)","16280.00","468.00","2.96","71","80","95","A+","11","Electrical-Power/Equipmt",
"10","KIRLOSENG","Kirloskar Oil Engines","1991.50","8.00","0.40","73","88","95","A","18","Machinery-Gen Industrial",
"11","RRKABEL","R R Kabel Ltd","2321.10","24.90","1.08","77","87","94","A+","11","Electrical-Power/Equipmt",
"12","ADANIPOWER","Adani Power (Nse)","231.76","1.19","0.52","79","85","94","A+","23","Utility-Electric Power  ",
"13","WELCORP","Welspun (Nse)","1423.40","26.00","1.86","67","48","94","A","33","Steel-Producers         ",
"14","DATAPATTNS","Data Patterns (India)","4822.10","20.00","0.42","66","88","94","B+","63","Aerospace/Defense       ",
"15","IDEA","Vodafone Idea","14.92","-0.09","-0.60","57","50","94","A","123","Telecom Svcs-Wireless   ",
"16","ATHERENERG","Ather Energy Ltd","971.70","2.65","0.27","72","38","94","B+","138","Auto Manufacturers      ",
"17","SCHNEIDER","Schneider Electric Infr.","1331.40","30.40","2.34","68","57","93","A-","11","Electrical-Power/Equipmt",
"18","BHEL","Bharat Heavy Electricals Ltd","414.35","8.45","2.08","86","62","93","A+","18","Machinery-Gen Industrial",
"19","ADANIGREEN","Adani Green Energy","1502.40","-4.40","-0.29","64","61","93","A+","21","Energy-Alternative/Other",
"20","ADANIENSOL","Adani Energy Solutions Ltd","1507.40","-15.90","-1.04","84","85","93","A-","23","Utility-Electric Power  ",
"21","IFCI","Ifci (Nse)","85.73","3.42","4.16","51","16","93","A","47","Financial Svcs-Specialty",
"22","BELRISE","Belrise Industries Ltd","241.09","1.85","0.77","67","46","93","A-","49","Auto/Truck-Original Eqp ",
"23","LAURUSLABS","Laurus Labs","1412.90","44.10","3.22","71","48","93","B+","67","Medical-Diversified     ",
"24","EMMVEE","Emmvee Photovoltaic Power Ltd","332.10","-1.60","-0.48","71","73","92","A+","11","Electrical-Power/Equipmt",
"25","CRAFTSMAN","Craftsman Automation","9806.50","306.50","3.23","86","90","92","A-","19","Machinery-Mtl Hdlg/Autmn",
"26","BSE","Bse","4020.20","5.70","0.14","83","98","92","B-","47","Financial Svcs-Specialty",
"27","MAHABANK","Bank Of Maharashtra","90.19","0.69","0.77","66","93","92","A+","121","Banks-Money Center      ",
"28","J&KBANK","Jammu & Kashmir Bank","163.56","0.66","0.41","67","85","92","A+","121","Banks-Money Center      ",
"29","THERMAX","Thermax","4702.40","6.10","0.13","69","88","91","A","18","Machinery-Gen Industrial",
"30","CARBORUNIV","Carborundum Universal","1241.70","49.50","4.15","61","38","91","A+","18","Machinery-Gen Industrial",
"31","VEDL","Vedanta","300.80","-5.20","-1.70","76","66","91","A-","24","Mining-Metal Ores       ",
"32","HSCL","Himadri Speciality Chemical","671.05","-19.25","-2.79","67","92","91","B+","44","Chemicals-Specialty     ",
